Timestamp,Voltage,Altitude,Lat,Lon
1774351642.5207076,12.538,0.0,-35.3632613,149.1652323
1774351643.527173,12.143,0.37,-35.3632615,149.1652333
1774351644.5366144,12.143,2.37,-35.3632616,149.1652332
1774351645.5458975,12.143,4.65,-35.3632612,149.1652315
1774351646.561013,12.143,7.22,-35.3632606,149.1652294
1774351647.5732412,12.143,9.96,-35.3632597,149.1652275
1774351648.5864756,12.143,12.8,-35.3632588,149.1652264
1774351649.6000686,12.193,15.49,-35.363258,149.1652262
1774351650.6144786,12.193,17.86,-35.3632576,149.1652267
1774351651.6247795,12.193,20.06,-35.3632573,149.1652275
1774351652.6369736,12.193,22.69,-35.3632572,149.1652287
1774351653.6502578,12.193,24.75,-35.3632572,149.1652294
1774351654.6602693,12.193,26.78,-35.3632572,149.1652299
1774351655.6679063,12.193,28.81,-35.3632571,149.1652304
1774351656.681823,12.193,31.33,-35.3632571,149.1652312
1774351657.6927996,12.193,33.33,-35.363257,149.1652318
1774351658.7046669,12.193,35.33,-35.3632569,149.1652321
1774351659.7147515,12.193,37.83,-35.3632568,149.1652323
1774351660.720131,12.193,39.84,-35.3632566,149.1652324
1774351661.7339013,12.193,41.85,-35.3632563,149.1652325
1774351662.7419944,12.193,43.86,-35.363256,149.1652325
1774351663.7508492,12.193,45.88,-35.3632557,149.1652325
1774351664.7598495,12.193,47.89,-35.3632556,149.1652325
1774351665.770109,12.193,50.42,-35.3632553,149.1652326
1774351666.7813103,12.193,52.44,-35.3632549,149.1652327
1774351667.792328,12.193,54.45,-35.3632544,149.1652327
1774351668.801759,12.193,56.45,-35.363254,149.1652326
1774351669.8112092,12.193,58.43,-35.3632536,149.1652326
1774351670.8148541,12.193,60.4,-35.3632533,149.1652325
1774351671.8269362,12.193,62.87,-35.3632526,149.1652323
1774351672.837497,12.193,64.84,-35.3632522,149.1652322
1774351673.8493295,12.193,66.8,-35.3632519,149.1652321
1774351674.863229,12.193,68.75,-35.3632516,149.165232
1774351675.8648853,12.193,70.7,-35.3632511,149.165232
1774351676.8685906,12.193,72.65,-35.3632507,149.165232
1774351677.883109,12.193,74.61,-35.3632504,149.1652317
1774351678.8928146,12.193,77.07,-35.3632498,149.1652312
1774351679.9049957,12.193,79.03,-35.3632494,149.1652309
1774351680.916063,12.193,80.98,-35.363249,149.1652307
1774351681.92985,12.193,82.93,-35.3632486,149.1652305
1774351682.940656,12.193,84.88,-35.3632482,149.1652303
1774351683.950977,12.193,87.32,-35.3632476,149.16523
1774351684.9634538,12.193,89.29,-35.3632473,149.1652298
1774351685.9697316,12.193,91.26,-35.3632469,149.1652296
1774351686.9789534,12.193,93.23,-35.3632465,149.1652295
1774351687.9848948,12.193,95.69,-35.363246,149.1652292
1774351688.9957592,12.193,97.66,-35.3632455,149.165229
1774351689.9965005,12.193,99.63,-35.3632451,149.1652288
1774351690.9986129,12.193,101.6,-35.3632447,149.1652284
1774351692.0017276,12.193,103.56,-35.3632442,149.165228
1774351693.015968,12.193,105.51,-35.3632438,149.1652274
1774351694.0299356,12.193,107.93,-35.3632432,149.1652267
1774351695.0390975,12.193,109.86,-35.3632426,149.1652262
1774351696.044591,12.193,111.79,-35.3632421,149.1652258
