Timestamp,Voltage,Altitude,PWM_Value
1774359646.4636946,12.143,12.06,1450
1774359647.472422,12.193,15.41,1450
1774359648.4835804,12.193,17.73,1450
1774359649.4937098,12.193,19.91,1450
1774359650.5029864,12.193,22.01,1450
1774359651.5108347,12.193,24.07,1450
1774359652.5160968,12.193,26.11,1450
1774359653.5265734,12.193,28.14,1450
1774359654.5347083,12.193,30.67,1450
1774359655.5492299,12.193,32.68,1450
1774359656.5589712,12.193,35.2,1420
1774359657.5672715,12.193,37.05,1420
1774359658.57595,12.193,38.67,1420
1774359659.5825226,12.193,40.18,1420
1774359660.5980594,12.193,41.98,1420
1774359661.6025527,12.193,43.39,1420
1774359662.6069663,12.193,44.78,1420
1774359663.613794,12.193,46.16,1420
1774359664.615879,12.193,47.54,1420
1774359665.6239226,12.193,48.91,1420
1774359666.6250913,12.193,50.26,1400
1774359667.6352434,12.193,51.51,1400
1774359668.6441176,12.193,52.58,1400
1774359669.6574702,12.193,53.55,1400
1774359670.6660993,12.193,54.47,1400
1774359671.670902,12.193,55.36,1400
1774359672.6861377,12.193,56.23,1400
1774359673.6889687,12.193,57.08,1400
1774359674.6910124,12.193,57.91,1400
1774359675.6949222,12.193,58.74,1400
1774359676.6985705,12.193,59.77,1380
1774359677.7044501,12.242,60.53,1380
1774359678.7175372,12.242,61.14,1380
1774359679.7235765,12.242,61.77,1380
1774359680.727357,12.242,62.23,1380
1774359681.7310455,12.242,62.55,1380
1774359682.737282,12.242,63.08,1380
1774359683.743248,12.242,63.5,1380
1774359684.7578723,12.242,63.93,1380
1774359685.760603,12.242,64.36,1380
